# https://www.iana.org/domains/root/db
.bingo 	generic 	Sand Cedar, LLC
.bio 	generic 	STARTING DOT LIMITED
.biz 	generic-restricted 	NeuStar, Inc.
.bj 	country-code 	Benin Telecoms S.A.
.bl 	country-code 	Not assigned
.black 	generic 	Afilias Limited
.blackfriday 	generic 	Uniregistry, Corp.
.bloomberg 	generic 	Bloomberg IP Holdings LLC
.blue 	generic 	Afilias Limited
.bm 	country-code 	Registry General Ministry of Labour and Immigration
.bmw 	generic 	Bayerische Motoren Werke Aktiengesellschaft
.bn 	country-code 	Telekom Brunei Berhad
.bnpparibas 	generic 	BNP Paribas
.bo 	country-code 	Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
.boo 	generic 	Charleston Road Registry Inc.
.boutique 	generic 	Over Galley, LLC
.bq 	country-code 	Not assigned
.br 	country-code 	Comite Gestor da Internet no Brasil
.brussels 	generic 	DNS.be vzw
.bs 	country-code 	The College of the Bahamas
.bt 	country-code 	Ministry of Information and Communications
.budapest 	generic 	Top Level Domain Holdings Limited
.build 	generic 	Plan Bee LLC
.builders 	generic 	Atomic Madison, LLC
.business 	generic 	Spring Cross, LLC
.buzz 	generic 	DOTSTRATEGY CO.
.bv 	country-code 	UNINETT Norid A/S
.bw 	country-code 	Botswana Communications Regulatory Authority (BOCRA)
.by 	country-code 	Reliable Software Inc.
.bz 	country-code 	University of Belize
.bzh 	generic 	Association www.bzh
.ca 	country-code 	Canadian Internet Registration Authority (CIRA) Autorite Canadienne pour les Enregistrements Internet (ACEI)
.cab 	generic 	Half Sunset, LLC
.cal 	generic 	Charleston Road Registry Inc.
.camera 	generic 	Atomic Maple, LLC
.camp 	generic 	Delta Dynamite, LLC
.cancerresearch 	generic 	Australian Cancer Research Foundation
.canon 	generic 	Canon Inc.
.capetown 	generic 	ZA Central Registry NPC trading as ZA Central Registry
.capital 	generic 	Delta Mill, LLC
.caravan 	generic 	Caravan International, Inc.
.cards 	generic 	Foggy Hollow, LLC
.care 	generic 	Goose Cross, LLC
.career 	generic 	dotCareer LLC
.careers 	generic 	Wild Corner, LLC
.cartier 	generic 	Richemont DNS Inc.
.casa 	generic 	Top Level Domain Holdings Limited
.cash 	generic 	Delta Lake, LLC
.cat 	sponsored 	Fundacio puntCAT
.catering 	generic 	New Falls. LLC
.cbn 	generic 	The Christian Broadcasting Network, Inc.
.cc 	country-code 	eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services
.cd 	country-code 	Office Congolais des Postes et Télécommunications - OCPT
.center 	generic 	Tin Mill, LLC
.ceo 	generic 	CEOTLD Pty Ltd
.cern 	generic 	European Organization for Nuclear Research ("CERN")
.cf 	country-code 	Societe Centrafricaine de Telecommunications (SOCATEL)
.cg 	country-code 	ONPT Congo and Interpoint Switzerland
.ch 	country-code 	SWITCH The Swiss Education & Research Network
.channel 	generic 	Charleston Road Registry Inc.
.chat 	generic 	Sand Fields, LLC
.cheap 	generic 	Sand Cover, LLC
.christmas 	generic 	Uniregistry, Corp.
.chrome 	generic 	Charleston Road Registry Inc.
.church 	generic 	Holly Fileds, LLC
.ci 	country-code 	INP-HB Institut National Polytechnique Felix Houphouet Boigny
.citic 	generic 	CITIC Group Corporation
.city 	generic 	Snow Sky, LLC
.ck 	country-code 	Telecom Cook Islands Ltd.
.cl 	country-code 	NIC Chile (University of Chile)
.claims 	generic 	Black Corner, LLC
.cleaning 	generic 	Fox Shadow, LLC
.click 	generic 	Uniregistry, Corp.
.clinic 	generic 	Goose Park, LLC
.clothing 	generic 	Steel Lake, LLC
.club 	generic 	.CLUB DOMAINS, LLC
.cm 	country-code 	Cameroon Telecommunications (CAMTEL)
.cn 	country-code 	Computer Network Information Center, Chinese Academy of Sciences
.co 	country-code 	.CO Internet S.A.S.
.coach 	generic 	Koko Island, LLC
.codes 	generic 	Puff Willow, LLC
.coffee 	generic 	Trixy Cover, LLC
.college 	generic 	XYZ.COM LLC
.cologne 	generic 	NetCologne Gesellschaft für Telekommunikation mbH
.com 	generic 	VeriSign Global Registry Services
.community 	generic 	Fox Orchard, LLC
.company 	generic 	Silver Avenue, LLC
.computer 	generic 	Pine Mill, LLC
.condos 	generic 	Pine House, LLC
.construction 	generic 	Fox Dynamite, LLC
.consulting 	generic 	United TLD Holdco, LTD.
.contractors 	generic 	Magic Woods, LLC
.cooking 	generic 	Top Level Domain Holdings Limited
.cool 	generic 	Koko Lake, LLC
.coop 	sponsored 	DotCooperation LLC
.country 	generic 	Top Level Domain Holdings Limited
.cr 	country-code 	National Academy of Sciences Academia Nacional de Ciencias
.credit 	generic 	Snow Shadow, LLC
.creditcard 	generic 	Binky Frostbite, LLC
.cricket 	generic 	dot Cricket Limited
.crs 	generic 	Federated Co-operatives Limited
.cruises 	generic 	Spring Way, LLC
.cu 	country-code 	CENIAInternet Industria y San Jose Capitolio Nacional
.cuisinella 	generic 	SALM S.A.S.
.cv 	country-code 	Agência Nacional das Comunicações (ANAC)
.cw 	country-code 	University of Curacao
.cx 	country-code 	Christmas Island Internet Administration Limited
.cy 	country-code 	University of Cyprus
.cymru 	generic 	Nominet UK
.cz 	country-code 	CZ.NIC, z.s.p.o
.dabur 	generic 	Dabur India Limited
.dad 	generic 	Charleston Road Registry Inc.
.dance 	generic 	United TLD Holdco Ltd.
.dating 	generic 	Pine Fest, LLC
.day 	generic 	Charleston Road Registry Inc.
.dclk 	generic 	Charleston Road Registry Inc.
.de 	country-code 	DENIC eG
.deals 	generic 	Sand Sunset, LLC
.degree 	generic 	United TLD Holdco, Ltd
.delivery 	generic 	Steel Station, LLC
.democrat 	generic 	United TLD Holdco Ltd.
.dental 	generic 	Tin Birch, LLC
.dentist 	generic 	United TLD Holdco, Ltd
.desi 	generic 	Desi Networks LLC
.design 	generic 	Top Level Design, LLC
.dev 	generic 	Charleston Road Registry Inc.
.diamonds 	generic 	John Edge, LLC
.diet 	generic 	Uniregistry, Corp.
.digital 	generic 	Dash Park, LLC
.direct 	generic 	Half Trail, LLC
.directory 	generic 	Extra Madison, LLC
.discount 	generic 	Holly Hill, LLC
.dj 	country-code 	Djibouti Telecom S.A
.dk 	country-code 	Dansk Internet Forum
.dm 	country-code 	DotDM Corporation
.dnp 	generic 	Dai Nippon Printing Co., Ltd.
.do 	country-code 	Pontificia Universidad Catolica Madre y Maestra Recinto Santo Tomas de Aquino
.docs 	generic 	Charleston Road Registry Inc.
.domains 	generic 	Sugar Cross, LLC
.doosan 	generic 	Doosan Corporation
.durban 	generic 	ZA Central Registry NPC trading as ZA Central Registry
.dvag 	generic 	Deutsche Vermögensberatung Aktiengesellschaft DVAG
.dz 	country-code 	CERIST
.eat 	generic 	Charleston Road Registry Inc.
.ec 	country-code 	NIC.EC (NICEC) S.A.
.edu 	sponsored 	EDUCAUSE
.education 	generic 	Brice Way, LLC
.ee 	country-code 	Eesti Interneti Sihtasutus (EIS)
.eg 	country-code 	Egyptian Universities Network (EUN) Supreme Council of Universities
.eh 	country-code 	Not assigned
.email 	generic 	Spring Madison, LLC
.emerck 	generic 	Merck KGaA
.energy 	generic 	Binky Birch, LLC
.engineer 	generic 	United TLD Holdco Ltd.
.engineering 	generic 	Romeo Canyon
.enterprises 	generic 	Snow Oaks, LLC
.equipment 	generic 	Corn Station, LLC
.er 	country-code 	Eritrea Telecommunication Services Corporation (EriTel)
.es 	country-code 	Red.es
.esq 	generic 	Charleston Road Registry Inc.
.estate 	generic 	Trixy Park, LLC
.et 	country-code 	Ethio telecom
.eu 	country-code 	EURid vzw/asbl
.eurovision 	generic 	European Broadcasting Union (EBU)
.eus 	generic 	Puntueus Fundazioa
.events 	generic 	Pioneer Maple, LLC
.everbank 	generic 	EverBank
.exchange 	generic 	Spring Falls, LLC
.expert 	generic 	Magic Pass, LLC
.exposed 	generic 	Victor Beach, LLC
.fail 	generic 	Atomic Pipe, LLC
.fans 	generic 	Asiamix Digital Limited
.farm 	generic 	Just Maple, LLC
.fashion 	generic 	Top Level Domain Holdings Limited
.feedback 	generic 	Top Level Spectrum, Inc.
.fi 	country-code 	Finnish Communications Regulatory Authority
.finance 	generic 	Cotton Cypress, LLC
.financial 	generic 	Just Cover, LLC
.firmdale 	generic 	Firmdale Holdings Limited
.fish 	generic 	Fox Woods, LLC
.fishing 	generic 	Top Level Domain Holdings Limited
.fit 	generic 	Minds + Machines Group Limited
.fitness 	generic 	Brice Orchard, LLC
.fj 	country-code 	The University of the South Pacific IT Services
.fk 	country-code 	Falkland Islands Government
.flights 	generic 	Fox Station, LLC
.florist 	generic 	Half Cypress, LLC
.flowers 	generic 	Uniregistry, Corp.
.flsmidth 	generic 	FLSmidth A/S
.fly 	generic 	Charleston Road Registry Inc.
.fm 	country-code 	FSM Telecommunications Corporation
.fo 	country-code 	FO Council
.foo 	generic 	Charleston Road Registry Inc.
.forsale 	generic 	United TLD Holdco, LLC
.foundation 	generic 	John Dale, LLC
.fr 	country-code 	Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.frl 	generic 	FRLregistry B.V.
.frogans 	generic 	OP3FT
.fund 	generic 	John Castle, LLC
.furniture 	generic 	Lone Fields, LLC
.futbol 	generic 	United TLD Holdco, Ltd.
.ga 	country-code 	Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)
.gal 	generic 	Asociación puntoGAL
.gallery 	generic 	Sugar House, LLC
.garden 	generic 	Top Level Domain Holdings Limited
.gb 	country-code 	Reserved Domain - IANA
.gbiz 	generic 	Charleston Road Registry Inc.
.gd 	country-code 	The National Telecommunications Regulatory Commission (NTRC)
.gdn 	generic 	Joint Stock Company "Navigation-information systems"
.ge 	country-code 	Caucasus Online
.gent 	generic 	COMBELL GROUP NV/SA
.gf 	country-code 	Net Plus
.gg 	country-code 	Island Networks Ltd.
.ggee 	generic 	GMO Internet, Inc.
.gh 	country-code 	Network Computer Systems Limited
.gi 	country-code 	Sapphire Networks
.gift 	generic 	Uniregistry, Corp.
.gifts 	generic 	Goose Sky, LLC
.gives 	generic 	United TLD Holdco Ltd.
.gl 	country-code 	TELE Greenland A/S
.glass 	generic 	Black Cover, LLC
.gle 	generic 	Charleston Road Registry Inc.
.global 	generic 	Dot Global Domain Registry Limited
.globo 	generic 	Globo Comunicação e Participações S.A
.gm 	country-code 	GM-NIC
.gmail 	generic 	Charleston Road Registry Inc.
.gmo 	generic 	GMO Internet, Inc.
.gmx 	generic 	1&1 Mail & Media GmbH
.gn 	country-code 	Centre National des Sciences Halieutiques de Boussoura
.goldpoint 	generic 	YODOBASHI CAMERA CO.,LTD.
.goog 	generic 	Charleston Road Registry Inc.
.google 	generic 	Charleston Road Registry Inc.
.gop 	generic 	Republican State Leadership Committee, Inc.
.gov 	sponsored 	General Services Administration Attn: QTDC, 2E08 (.gov Domain Registration)
.gp 	country-code 	Networking Technologies Group
.gq 	country-code 	GETESA
.gr 	country-code 	ICS-FORTH GR
.graphics 	generic 	Over Madison, LLC
.gratis 	generic 	Pioneer Tigers, LLC
.green 	generic 	Afilias Limited
.gripe 	generic 	Corn Sunset, LLC
.gs 	country-code 	Government of South Georgia and South Sandwich Islands (GSGSSI)
.gt 	country-code 	Universidad del Valle de Guatemala
.gu 	country-code 	University of Guam Computer Center
.guide 	generic 	Snow Moon, LLC
.guitars 	generic 	Uniregistry, Corp.
.guru 	generic 	Pioneer Cypress, LLC
.gw 	country-code 	Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau
.gy 	country-code 	University of Guyana
.hamburg 	generic 	Hamburg Top-Level-Domain GmbH
.hangout 	generic 	Charleston Road Registry Inc.
.haus 	generic 	United TLD Holdco, LTD.
.healthcare 	generic 	Silver Glen, LLC
.help 	generic 	Uniregistry, Corp.
.here 	generic 	Charleston Road Registry Inc.
.hermes 	generic 	Hermes International
.hiphop 	generic 	Uniregistry, Corp.
.hiv 	generic 	dotHIV gemeinnuetziger e.V.
.hk 	country-code 	Hong Kong Internet Registration Corporation Ltd.
.hm 	country-code 	HM Domain Registry
.hn 	country-code 	Red de Desarrollo Sostenible Honduras
.holdings 	generic 	John Madison, LLC
.holiday 	generic 	Goose Woods, LLC
.homes 	generic 	DERHomes, LLC
.horse 	generic 	Top Level Domain Holdings Limited
.host 	generic 	DotHost Inc.
.hosting 	generic 	Uniregistry, Corp.
.house 	generic 	Sugar Park, LLC
.how 	generic 	Charleston Road Registry Inc.
.hr 	country-code 	CARNet - Croatian Academic and Research Network
.ht 	country-code 	Consortium FDS/RDDH
.hu 	country-code 	Council of Hungarian Internet Providers (CHIP)
.ibm 	generic 	International Business Machines Corporation
.id 	country-code 	Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
.ie 	country-code 	University College Dublin Computing Services Computer Centre
.ifm 	generic 	ifm electronic gmbh
.il 	country-code 	Internet Society of Israel
.im 	country-code 	Isle of Man Government
.immo 	generic 	Auburn Bloom, LLC
.immobilien 	generic 	United TLD Holdco Ltd.
.in 	country-code 	National Internet Exchange of India
.industries 	generic 	Outer House, LLC
.info 	generic 	Afilias Limited
.ing 	generic 	Charleston Road Registry Inc.
.ink 	generic 	Top Level Design, LLC
.institute 	generic 	Outer Maple, LLC
.insure 	generic 	Pioneer Willow, LLC
.int 	sponsored 	Internet Assigned Numbers Authority
.international 	generic 	Wild Way, LLC
.investments 	generic 	Holly Glen, LLC
.io 	country-code 	IO Top Level Domain Registry Cable and Wireless
.iq 	country-code 	Communications and Media Commission (CMC)
.ir 	country-code 	Institute for Research in Fundamental Sciences
.irish 	generic 	Dot-Irish LLC
.is 	country-code 	ISNIC - Internet Iceland ltd.
.it 	country-code 	IIT - CNR
.iwc 	generic 	Richemont DNS Inc.
.jcb 	generic 	JCB Co., Ltd.
.je 	country-code 	Island Networks (Jersey) Ltd.
.jetzt 	generic 	New TLD Company AB
.jm 	country-code 	University of West Indies
.jo 	country-code 	National Information Technology Center (NITC)
.jobs 	sponsored 	Employ Media LLC
.joburg 	generic 	ZA Central Registry NPC trading as ZA Central Registry
.jp 	country-code 	Japan Registry Services Co., Ltd.
.juegos 	generic 	Uniregistry, Corp.
.kaufen 	generic 	United TLD Holdco Ltd.
.kddi 	generic 	KDDI CORPORATION
.ke 	country-code 	Kenya Network Information Center (KeNIC)
.kg 	country-code 	AsiaInfo Telecommunication Enterprise
.kh 	country-code 	Ministry of Post and Telecommunications
.ki 	country-code 	Ministry of Communications, Transport, and Tourism Development
.kim 	generic 	Afilias Limited
.kitchen 	generic 	Just Goodbye, LLC
.kiwi 	generic 	DOT KIWI LIMITED
.km 	country-code 	Comores Telecom
.kn 	country-code 	Ministry of Finance, Sustainable Development Information & Technology
.koeln 	generic 	NetCologne Gesellschaft für Telekommunikation mbH
.kp 	country-code 	Star Joint Venture Company
.kr 	country-code 	Korea Internet & Security Agency (KISA)
.krd 	generic 	KRG Department of Information Technology
.kred 	generic 	KredTLD Pty Ltd
.kw 	country-code 	Ministry of Communications
.ky 	country-code 	The Information and Communications Technology Authority
.kyoto 	generic 	Academic Institution: Kyoto Jyoho Gakuen
.kz 	country-code 	Association of IT Companies of Kazakhstan
.la 	country-code 	Lao National Internet Committee (LANIC), Ministry of Posts and Telecommunications
.lacaixa 	generic 	CAIXA D'ESTALVIS I PENSIONS DE BARCELONA
.land 	generic 	Pine Moon, LLC
.lat 	generic 	ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico
.latrobe 	generic 	La Trobe University
.lawyer 	generic 	United TLD Holdco, Ltd
.lb 	country-code 	American University of Beirut Computing and Networking Services
.lc 	country-code 	University of Puerto Rico
.lds 	generic 	IRI Domain Management, LLC
.lease 	generic 	Victor Trail, LLC
.legal 	generic 	Blue Falls, LLC
.lgbt 	generic 	Afilias Limited
.li 	country-code 	Universitaet Liechtenstein
.lidl 	generic 	Schwarz Domains und Services GmbH & Co. KG
.life 	generic 	Trixy Oaks, LLC
.lighting 	generic 	John McCook, LLC
.limited 	generic 	Big Fest, LLC
.limo 	generic 	Hidden Frostbite, LLC
.link 	generic 	Uniregistry, Corp.
.lk 	country-code 	Council for Information Technology LK Domain Registrar
.loans 	generic 	June Woods, LLC
.london 	generic 	Dot London Domains Limited
.lotte 	generic 	Lotte Holdings Co., Ltd.
.lotto 	generic 	Afilias Limited
.lr 	country-code 	Data Technology Solutions, Inc.
.ls 	country-code 	National University of Lesotho
.lt 	country-code 	Kaunas University of Technology
.ltda 	generic 	InterNetX Corp.
.lu 	country-code 	RESTENA
.luxe 	generic 	Top Level Domain Holdings Limited
.luxury 	generic 	Luxury Partners LLC
.lv 	country-code 	University of Latvia Institute of Mathematics and Computer Science Department of Network Solutions (DNS)
.ly 	country-code 	General Post and Telecommunication Company
.ma 	country-code 	Agence Nationale de Réglementation des Télécommunications (ANRT)
.madrid 	generic 	Comunidad de Madrid
.maison 	generic 	Victor Frostbite, LLC
.management 	generic 	John Goodbye, LLC
.mango 	generic 	PUNTO FA S.L.
.market 	generic 	Unitied TLD Holdco, Ltd
.marketing 	generic 	Fern Pass, LLC
.marriott 	generic 	Marriott Worldwide Corporation
.mc 	country-code 	Gouvernement de Monaco Direction des Communications Electroniques
.md 	country-code 	MoldData S.E.
.me 	country-code 	Government of Montenegro
.media 	generic 	Grand Glen, LLC
.meet 	generic 	Afilias Limited
.melbourne 	generic 	The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation
.meme 	generic 	Charleston Road Registry Inc.
.memorial 	generic 	Dog Beach, LLC
.menu 	generic 	Wedding TLD2, LLC
.mf 	country-code 	Not assigned
.mg 	country-code 	NIC-MG (Network Information Center Madagascar)
.mh 	country-code 	Office of the Cabinet
.miami 	generic 	Top Level Domain Holdings Limited
.mil 	sponsored 	DoD Network Information Center
.mini 	generic 	Bayerische Motoren Werke Aktiengesellschaft
.mk 	country-code 	Macedonian Academic Research Network Skopje
.ml 	country-code 	Agence des Technologies de l’Information et de la Communication
.mm 	country-code 	Ministry of Communications, Posts & Telegraphs
.mn 	country-code 	Datacom Co., Ltd.
.mo 	country-code 	Bureau of Telecommunications Regulation (DSRT)
.mobi 	sponsored 	Afilias Technologies Limited dba dotMobi
.moda 	generic 	United TLD Holdco Ltd.
.moe 	generic 	Interlink Co., Ltd.
.monash 	generic 	Monash University
.money 	generic 	Outer McCook, LLC
.mormon 	generic 	IRI Domain Management, LLC ("Applicant")
.mortgage 	generic 	United TLD Holdco, Ltd
.moscow 	generic 	Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
.motorcycles 	generic 	DERMotorcycles, LLC
.mov 	generic 	Charleston Road Registry Inc.
.mp 	country-code 	Saipan Datacom, Inc.
.mq 	country-code 	MEDIASERV
.mr 	country-code 	Université des Sciences, de Technologie et de Médecine
.ms 	country-code 	MNI Networks Ltd.
.mt 	country-code 	NIC (Malta)
.mu 	country-code 	Internet Direct Ltd
.museum 	sponsored 	Museum Domain Management Association
.mv 	country-code 	Dhiraagu Pvt. Ltd. (DHIVEHINET)
.mw 	country-code 	Malawi Sustainable Development Network Programme (Malawi SDNP)
.mx 	country-code 	NIC-Mexico ITESM - Campus Monterrey
.my 	country-code 	MYNIC Berhad
.mz 	country-code 	Centro de Informatica de Universidade Eduardo Mondlane
.na 	country-code 	Namibian Network Information Center
.nagoya 	generic 	GMO Registry, Inc.
.name 	generic-restricted 	VeriSign Information Services, Inc.
.navy 	generic 	United TLD Holdco Ltd.
.nc 	country-code 	Office des Postes et Telecommunications
.ne 	country-code 	SONITEL
.net 	generic 	VeriSign Global Registry Services
.network 	generic 	Trixy Manor, LLC
.neustar 	generic 	NeuStar, Inc.
.new 	generic 	Charleston Road Registry Inc.
.nexus 	generic 	Charleston Road Registry Inc.
.nf 	country-code 	Norfolk Island Data Services
.ng 	country-code 	Nigeria Internet Registration Association
.ngo 	generic 	Public Interest Registry
.nhk 	generic 	Japan Broadcasting Corporation (NHK)
.ni 	country-code 	Universidad Nacional del Ingernieria Centro de Computo
.nico 	generic 	DWANGO Co., Ltd.
.ninja 	generic 	United TLD Holdco Ltd.
.nl 	country-code 	SIDN (Stichting Internet Domeinregistratie Nederland)
.no 	country-code 	UNINETT Norid A/S
.np 	country-code 	Mercantile Communications Pvt. Ltd.
.nr 	country-code 	CENPAC NET
.nra 	generic 	NRA Holdings Company, INC.
.nrw 	generic 	Minds + Machines GmbH
.ntt 	generic 	NIPPON TELEGRAPH AND TELEPHONE CORPORATION
.nu 	country-code 	The IUSN Foundation
.nyc 	generic 	The City of New York by and through the New York City Department of Information Technology & Telecommunications
.nz 	country-code 	InternetNZ
.okinawa 	generic 	BusinessRalliart inc.
.om 	country-code 	Telecommunications Regulatory Authority (TRA)
.one 	generic 	One.com A/S
.ong 	generic 	Public Interest Registry
.onl 	generic 	I-REGISTRY Ltd., Niederlassung Deutschland
.ooo 	generic 	INFIBEAM INCORPORATION LIMITED
.org 	generic 	Public Interest Registry (PIR)
.organic 	generic 	Afilias Limited
.osaka 	generic 	Interlink Co., Ltd.
.otsuka 	generic 	Otsuka Holdings Co., Ltd.
.ovh 	generic 	OVH SAS
.pa 	country-code 	Universidad Tecnologica de Panama
.paris 	generic 	City of Paris
.partners 	generic 	Magic Glen, LLC
.parts 	generic 	Sea Goodbye, LLC
.party 	generic 	Blue Sky Registry Limited
.pe 	country-code 	Red Cientifica Peruana
.pf 	country-code 	Gouvernement de la Polynésie française
.pg 	country-code 	PNG DNS Administration Vice Chancellors Office The Papua New Guinea University of Technology
.ph 	country-code 	PH Domain Foundation
.pharmacy 	generic 	National Association of Boards of Pharmacy
.photo 	generic 	Uniregistry, Corp.
.photography 	generic 	Sugar Glen, LLC
.photos 	generic 	Sea Corner, LLC
.physio 	generic 	PhysBiz Pty Ltd
.pics 	generic 	Uniregistry, Corp.
.pictures 	generic 	Foggy Sky, LLC
.pink 	generic 	Afilias Limited
.pizza 	generic 	Foggy Moon, LLC
.pk 	country-code 	PKNIC
.pl 	country-code 	Research and Academic Computer Network
.place 	generic 	Snow Galley, LLC
.plumbing 	generic 	Spring Tigers, LLC
.pm 	country-code 	Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.pn 	country-code 	Pitcairn Island Administration
.pohl 	generic 	Deutsche Vermögensberatung Aktiengesellschaft DVAG
.poker 	generic 	Afilias Domains No. 5 Limited
.porn 	generic 	ICM Registry PN LLC
.post 	sponsored 	Universal Postal Union
.pr 	country-code 	Gauss Research Laboratory Inc.
.praxi 	generic 	Praxi S.p.A.
.press 	generic 	DotPress Inc.
.pro 	generic-restricted 	Registry Services Corporation dba RegistryPro
.prod 	generic 	Charleston Road Registry Inc.
.productions 	generic 	Magic Birch, LLC
.prof 	generic 	Charleston Road Registry Inc.
.properties 	generic 	Big Pass, LLC
.property 	generic 	Uniregistry, Corp.
.ps 	country-code 	Ministry Of Telecommunications & Information Technology, Government Computer Center.
.pt 	country-code 	Associação DNS.PT
.pub 	generic 	United TLD Holdco Ltd.
.pw 	country-code 	Micronesia Investment and Development Corporation
.py 	country-code 	NIC-PY
.qa 	country-code 	Communications Regulatory Authority
.qpon 	generic 	dotCOOL, Inc.
.quebec 	generic 	PointQuébec Inc
.re 	country-code 	Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.realtor 	generic 	Real Estate Domains LLC
.recipes 	generic 	Grand Island, LLC
.red 	generic 	Afilias Limited
.rehab 	generic 	United TLD Holdco Ltd.
.reise 	generic 	dotreise GmbH
.reisen 	generic 	New Cypress, LLC
.reit 	generic 	National Association of Real Estate Investment Trusts, Inc.
.ren 	generic 	Beijing Qianxiang Wangjing Technology Development Co., Ltd.
.rentals 	generic 	Big Hollow,LLC
.repair 	generic 	Lone Sunset, LLC
.report 	generic 	Binky Glen, LLC
.republican 	generic 	United TLD Holdco Ltd.
.rest 	generic 	Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
.restaurant 	generic 	Snow Avenue, LLC
.reviews 	generic 	United TLD Holdco, Ltd.
.rich 	generic 	I-REGISTRY Ltd., Niederlassung Deutschland
.rio 	generic 	Empresa Municipal de Informática SA - IPLANRIO
.rip 	generic 	United TLD Holdco Ltd.
.ro 	country-code 	National Institute for R&D in Informatics
.rocks 	generic 	United TLD Holdco, LTD.
.rodeo 	generic 	Top Level Domain Holdings Limited
.rs 	country-code 	Serbian National Internet Domain Registry (RNIDS)
.rsvp 	generic 	Charleston Road Registry Inc.
.ru 	country-code 	Coordination Center for TLD RU
.ruhr 	generic 	regiodot GmbH & Co. KG
.rw 	country-code 	Rwanda Information Communication and Technology Association (RICTA)
.ryukyu 	generic 	BusinessRalliart inc.
.sa 	country-code 	Communications and Information Technology Commission
.saarland 	generic 	dotSaarland GmbH
.sale 	generic 	United TLD Holdco, Ltd
